IMAGE F Q FRC E QS
100007.jpg 0.132638 0.0765556 -0.143467 0.168501 0.745685 
100039.jpg -0.15378 -0.13904 -0.163565 -0.161023 0.784826 
100075.jpg 0.231625 0.245467 0.161647 0.244938 0.838758 
100080.jpg 0.144229 -0.0625717 0.180357 0.191685 0.702107 
100098.jpg 0.217266 0.219558 0.13583 0.218867 0.876476 
100099.jpg 0.223059 0.206629 -0.187282 -0.178515 0.557131 
10081.jpg 0.152683 0.146404 -0.0510816 0.163341 0.703204 
101027.jpg 0.0908719 0.12957 -0.170518 0.0358824 0.502582 
101084.jpg -0.243863 -0.225682 0.168871 -0.244256 0.829894 
101085.jpg 0.196566 0.12241 0.0423452 0.215018 0.873815 
101087.jpg 0.168909 0.0550413 -0.13244 0.164369 0.739885 
102061.jpg 0.0451817 0.0327349 0.086012 -0.0431088 0.506882 
102062.jpg 0.367051 0.390319 0.284514 0.398819 0.736304 
103006.jpg -0.0508252 -0.0474335 0.037873 -0.0514988 0.847862 
103029.jpg 0.385096 0.386682 -0.2484 0.39348 0.93798 
103041.jpg -0.00880443 -0.0291837 0.0154442 0.000803224 0.507378 
103070.jpg 0.256288 0.268772 0.280997 0.293226 0.797485 
103078.jpg 0.265574 -0.265287 0.228278 0.251238 0.53505 
104010.jpg 0.0935091 0.0894068 0.00508973 0.15445 0.882515 
104022.jpg 0.240831 0.246466 0.285133 0.306141 0.684171 
104055.jpg 0.155375 0.12592 0.0750026 0.190032 0.766305 
105019.jpg 0.046788 0.0469284 0.00339753 -0.0195289 0.547345 
105025.jpg 0.0225233 -0.0939534 0.194872 0.191961 0.560013 
105027.jpg -0.0512596 -0.0500806 -0.00900199 -0.0544945 0.707256 
105053.jpg 0.0147578 0.0148889 0.0157107 0.0126639 0.938476 
106005.jpg 0.129265 0.177572 -0.0809137 -0.0212217 0.552619 
106020.jpg -0.129378 -0.294175 0.332073 0.337098 0.496015 
106024.jpg 0.117016 -0.22166 -0.1642 0.198365 0.564376 
106025.jpg -0.299855 -0.300314 0.136283 0.300381 0.84499 
106047.jpg -0.0733823 -0.0734311 -0.0737815 -0.069605 0.962953 
107014.jpg 0.174382 0.193554 0.0452594 0.186457 0.667246 
107045.jpg 0.0715147 0.0105083 -0.123369 0.11513 0.588032 
107072.jpg 0.118018 -0.0841646 0.155286 0.152268 0.505723 
108004.jpg -0.0399596 -0.0387492 0.0350622 -0.0408794 0.790572 
108005.jpg 0.141301 0.144021 -0.0297369 0.168233 0.926909 
108036.jpg 0.244098 0.225729 0.161853 0.28908 0.637241 
108041.jpg 0.209077 0.205029 0.0784496 0.269177 0.858562 
108069.jpg -0.0928714 -0.0928722 0.0928626 -0.0928723 0.9557 
108070.jpg 0.243266 0.268568 -0.247381 0.258471 0.799133 
108073.jpg -0.267278 -0.262091 0.252189 -0.272106 0.460951 
108082.jpg 0.433828 0.433895 -0.433534 0.436666 0.762926 
109034.jpg 0.0525239 0.0141287 0.173956 0.105158 0.595226 
109053.jpg 0.302795 0.290123 0.355714 0.36056 0.71121 
109055.jpg 0.172792 0.168309 0.253563 0.232795 0.717066 
112056.jpg 0.245239 -0.377537 0.22719 0.379521 0.752947 
112082.jpg 0.275257 0.178829 0.312422 0.315128 0.638973 
112090.jpg 0.179929 0.190446 0.185635 0.189278 0.69186 
113009.jpg 0.0768632 0.0904159 -0.141545 0.0537646 0.933112 
113016.jpg 0.22064 0.220601 -0.25277 0.245125 0.961824 
113044.jpg 0.239222 0.25363 -0.275715 0.273806 0.956661 
117025.jpg 0.260513 0.261603 -0.261916 0.23173 0.548547 
117054.jpg 0.298755 0.272568 0.300485 0.317333 0.910575 
118015.jpg 0.136132 0.0947979 -0.0336872 0.181899 0.739263 
118020.jpg -0.131598 -0.126248 -0.0468232 -0.125499 0.542457 
118031.jpg -0.00386643 -0.0280954 -0.0290705 0.0546429 0.714884 
118035.jpg -0.0373237 0.0681572 -0.0232869 -0.04238 0.512927 
118072.jpg 0.0659631 0.071775 0.146894 0.104814 0.646906 
119082.jpg -0.0171004 -0.0169006 -0.0172609 -0.0162675 0.83014 
120003.jpg 0.37184 0.372245 -0.314971 0.372234 0.978875 
12003.jpg -0.206997 -0.206984 -0.20692 -0.206973 0.971991 
120093.jpg -0.00159495 0.0161206 -0.118054 0.0081267 0.888039 
12074.jpg 0.327746 0.323373 -0.333306 0.356159 0.934933 
12084.jpg -0.0128179 -0.00891909 -0.0660127 -0.00711416 0.880954 
122048.jpg 0.325988 0.190373 0.37885 0.363298 0.750579 
123057.jpg -0.0181111 -0.0132258 -0.0130677 -0.0192565 0.794014 
123074.jpg 0.218991 0.219796 0.216298 0.198782 0.847968 
124084.jpg -0.199174 -0.150233 -0.136094 -0.200943 0.445872 
126007.jpg 0.054419 0.0948193 0.0985513 -0.00821611 0.667557 
126039.jpg -0.165589 -0.183176 0.177767 -0.14785 0.552759 
128035.jpg 0.105508 0.0700494 -0.145261 0.113503 0.672421 
130014.jpg -0.0188769 -0.00400194 -0.0484489 -0.00560794 0.884387 
130026.jpg -0.0207216 -0.0161814 -0.0442075 -0.0190203 0.62577 
130034.jpg -0.0993606 -0.099356 -0.0992253 -0.0949017 0.399113 
130066.jpg 0.0700438 -0.0103728 0.176562 0.179972 0.518393 
134008.jpg -0.017481 -0.0174953 -0.0170765 -0.0185059 0.736253 
134035.jpg 0.138002 0.151886 0.16375 0.20177 0.656075 
134049.jpg 0.128854 0.132127 0.005457 0.0991006 0.757345 
134052.jpg 0.164947 0.102426 0.291626 0.262053 0.604328 
134067.jpg 0.202124 0.216761 0.102418 0.194829 0.702874 
135037.jpg 0.0354479 -0.174642 0.154759 0.125486 0.542071 
135069.jpg -0.0136408 -0.00345251 0.0380569 -0.0376463 0.449933 
138032.jpg 0.192172 0.207443 0.233252 0.217726 0.670429 
138078.jpg -0.253993 -0.239112 0.222493 -0.265002 0.75456 
140006.jpg 0.0863755 0.0879971 -0.0754113 0.108632 0.755184 
140055.jpg 0.109023 0.128436 -0.130926 0.0787045 0.441943 
140075.jpg -0.149945 -0.149566 0.16968 -0.143712 0.971889 
140088.jpg -0.23973 0.251098 0.253166 -0.230448 0.555014 
14037.jpg 0.176115 -0.100608 0.00393523 0.14923 0.662971 
14085.jpg 0.226932 0.204088 0.290839 0.275407 0.689604 
14092.jpg 0.0328625 0.0379334 -0.0407616 -0.00749746 0.475934 
141012.jpg 0.195738 0.179131 0.28517 0.332914 0.744292 
141048.jpg 0.168935 0.187215 0.227623 0.184946 0.615726 
143090.jpg 0.2198 0.200363 -0.0446733 0.224089 0.859533 
144067.jpg 0.286019 0.303881 0.309446 0.280483 0.730372 
145014.jpg 0.137292 0.177533 0.251294 0.167779 0.86346 
145053.jpg 0.21693 0.178925 0.202275 0.250182 0.728463 
145059.jpg 0.25275 0.25624 0.209473 0.256557 0.761912 
145079.jpg 0.167237 0.184383 0.178558 0.185199 0.773984 
